Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global,Platform
Madden NFL 16,2015.0,Sports,EA Sports,2.13,0.08,0.0,0.26,2.47,Xbox One
Madden NFL 17,2016.0,Sports,EA Sports,2.14,0.04,0.0,0.26,2.44,Xbox One
NBA 2K16,2015.0,Sports,2K Sports,2.01,0.15,0.0,0.25,2.41,Xbox One
Forza Motorsport 5,2013.0,Racing,Microsoft Studios,1.28,0.9,0.01,0.21,2.4,Xbox One
Destiny 2,2017.0,Shooter,Activision,1.66,0.47,0.0,0.23,2.35,Xbox One
Assassin's Creed IV: Black Flag,2013.0,Action,Ubisoft,1.51,0.59,0.0,0.22,2.32,Xbox One
FIFA 15,2014.0,Sports,EA Sports,0.64,1.39,0.0,0.16,2.19,Xbox One
PlayerUnknown's Battlegrounds,2017.0,Shooter,Microsoft Studios,1.29,0.69,0.0,0.2,2.17,Xbox One
Battlefield 4,2013.0,Shooter,Electronic Arts,1.26,0.65,0.0,0.19,2.09,Xbox One
NBA 2K17,2016.0,Sports,2K Sports,1.7,0.12,0.0,0.21,2.04,Xbox One
Forza Motorsport 6,2015.0,Racing,Microsoft Studios,0.9,0.92,0.04,0.16,2.02,Xbox One
NBA 2K18,2017.0,Sports,2K Sports,1.67,0.14,0.0,0.21,2.02,Xbox One
Star Wars Battlefront II (2017),2017.0,Shooter,Electronic Arts,1.15,0.59,0.0,0.17,1.92,Xbox One
Madden NFL 18,2017.0,Sports,EA Sports,1.63,0.07,0.0,0.2,1.91,Xbox One
The Elder Scrolls V: Skyrim,2016.0,Role-Playing,Bethesda Softworks,1.13,0.53,0.0,0.17,1.83,Xbox One
Far Cry 5,2018.0,Action,Ubisoft,1.14,0.47,0.0,0.17,1.78,Xbox One
Mortal Kombat X,2015.0,Fighting,Warner Bros. Interactive Entertainment,1.34,0.23,0.0,0.18,1.74,Xbox One
NBA 2K15,2014.0,Sports,2K Sports,1.39,0.18,0.0,0.18,1.74,Xbox One
The Witcher 3: Wild Hunt,2015.0,Role-Playing,Namco Bandai Games,0.97,0.61,0.01,0.15,1.74,Xbox One
Far Cry 4,2014.0,Shooter,Ubisoft,0.85,0.68,0.02,0.14,1.68,Xbox One
Watch Dogs,2014.0,Action-Adventure,Ubisoft,0.91,0.59,0.0,0.15,1.64,Xbox One
Dead Rising 3,2013.0,Action,Microsoft Studios,1.06,0.4,0.01,0.15,1.63,Xbox One
Tom Clancy's Ghost Recon Wildlands,2017.0,Shooter,Ubisoft,0.98,0.48,0.0,0.15,1.61,Xbox One
Madden NFL 15,2014.0,Sports,EA Sports,1.34,0.1,0.0,0.17,1.6,Xbox One
Rise of the Tomb Raider,2015.0,Adventure,Square Enix,0.61,0.82,0.03,0.12,1.58,Xbox One
Batman: Arkham Knight,2015.0,Action,Warner Bros. Interactive Entertainment,0.97,0.46,0.0,0.14,1.58,Xbox One
Forza Motorsport 7,2017.0,Racing,Microsoft Studios,0.58,0.81,0.01,0.12,1.52,Xbox One
Dying Light,2015.0,Action,Warner Bros. Interactive Entertainment,1.01,0.31,0.01,0.14,1.47,Xbox One
Ryse,2013.0,Action,Microsoft Studios,0.84,0.49,0.0,0.13,1.47,Xbox One
Forza Horizon 2,2014.0,Racing,Microsoft Studios,0.56,0.79,0.01,0.11,1.46,Xbox One
Doom (2016),2016.0,Shooter,Bethesda Softworks,0.76,0.57,0.0,0.13,1.45,Xbox One
Assassin's Creed Syndicate,2015.0,Action,Ubisoft,0.71,0.61,0.0,0.12,1.44,Xbox One
Middle-Earth: Shadow of Mordor,2014.0,Action,Warner Bros. Interactive Entertainment,0.77,0.52,0.01,0.12,1.42,Xbox One
Rocket League,2016.0,Sports,505 Games,0.52,0.75,0.0,0.11,1.38,Xbox One
The Elder Scrolls Online,2015.0,MMO,Bethesda Softworks,0.86,0.39,0.0,0.13,1.38,Xbox One
Titanfall 2,2016.0,Shooter,Electronic Arts,0.88,0.37,0.0,0.13,1.37,Xbox One
Watch Dogs 2,2016.0,Action,Ubisoft,0.71,0.53,0.0,0.12,1.35,Xbox One
FIFA Soccer 14,2013.0,Sports,EA Sports,0.44,0.78,0.0,0.1,1.31,Xbox One
Destiny: The Taken King,2015.0,Shooter,Activision,0.91,0.23,0.0,0.12,1.27,Xbox One
Battlefield: Hardline,2015.0,Shooter,Electronic Arts,0.73,0.39,0.01,0.11,1.24,Xbox One
Sunset Overdrive,2014.0,Action,Microsoft Studios,0.64,0.42,0.0,0.1,1.16,Xbox One
Middle-Earth: Shadow of War,2017.0,Action,Warner Bros. Interactive Entertainment,0.75,0.29,0.0,0.11,1.15,Xbox One
Lego Marvel Super Heroes,2013.0,Action,Warner Bros. Interactive Entertainment,0.61,0.44,0.0,0.1,1.15,Xbox One
Final Fantasy XV,2016.0,Role-Playing,Square Enix,0.72,0.3,0.01,0.11,1.14,Xbox One
Mafia III,2016.0,Action-Adventure,2K Games,0.54,0.48,0.0,0.09,1.11,Xbox One
Diablo III,2014.0,Role-Playing,Blizzard Entertainment,0.62,0.32,0.0,0.09,1.04,Xbox One
Just Cause 3,2015.0,Action-Adventure,Square Enix,0.52,0.41,0.0,0.09,1.01,Xbox One
Far Cry: Primal,2016.0,Action-Adventure,Ubisoft,0.51,0.41,0.0,0.09,1.0,Xbox One
Dragon Age III: Inquisition,2014.0,Role-Playing,Electronic Arts,0.63,0.27,0.0,0.09,0.99,Xbox One
Sea of Thieves,2018.0,Action-Adventure,Microsoft Studios,0.6,0.27,0.0,0.09,0.96,Xbox One
NBA 2K14,2013.0,Sports,2K Sports,0.72,0.12,0.0,0.09,0.94,Xbox One
Monster Hunter: World,2018.0,Action,Capcom,0.67,0.17,0.0,0.09,0.93,Xbox One
Injustice 2,2017.0,Fighting,Warner Bros. Interactive Entertainment,0.65,0.16,0.0,0.09,0.89,Xbox One
Resident Evil VII: Biohazard,2017.0,Action,Capcom,0.51,0.3,0.0,0.08,0.89,Xbox One
For Honor,2017.0,Action,Ubisoft,0.57,0.21,0.0,0.08,0.87,Xbox One
Dishonored 2,2016.0,Action,Bethesda Softworks,0.47,0.31,0.0,0.08,0.86,Xbox One
Plants vs. Zombies: Garden Warfare 2,2016.0,Shooter,Electronic Arts,0.47,0.32,0.0,0.08,0.86,Xbox One
Madden NFL 25,2013.0,Sports,EA Sports,0.69,0.06,0.0,0.09,0.83,Xbox One
Metal Gear Solid V: The Phantom Pain,2015.0,Action,Konami Digital Entertainment,0.49,0.25,0.02,0.07,0.83,Xbox One
Guitar Hero Live,2015.0,Music,Activision,0.52,0.23,0.0,0.08,0.83,Xbox One
Dark Souls III,2016.0,Role-Playing,Namco Bandai Games,0.56,0.15,0.0,0.08,0.79,Xbox One
LEGO Jurassic World,2015.0,Action,Warner Bros. Interactive Entertainment,0.44,0.27,0.0,0.07,0.78,Xbox One
Rare Replay,2015.0,Misc,Microsoft Studios,0.42,0.27,0.01,0.07,0.78,Xbox One
Mass Effect: Andromeda,2017.0,Role-Playing,Electronic Arts,0.5,0.2,0.0,0.07,0.78,Xbox One
Minecraft: Story Mode,2015.0,Adventure,Mojang,0.46,0.24,0.0,0.07,0.77,Xbox One
Fortnite,2017.0,Action,Gearbox Software,0.6,0.09,0.0,0.08,0.77,Xbox One
Quantum Break,2016.0,Action,Microsoft Studios,0.42,0.25,0.02,0.07,0.76,Xbox One
Wolfenstein: The New Order,2014.0,Shooter,Bethesda Softworks,0.39,0.3,0.0,0.06,0.75,Xbox One
Rock Band 4,2015.0,Music,Harmonix Music Systems,0.62,0.05,0.0,0.08,0.75,Xbox One
Need for Speed (2015),2015.0,Racing,Electronic Arts,0.35,0.33,0.0,0.06,0.74,Xbox One
The Sims 4,2017.0,Simulation,Electronic Arts,0.42,0.24,0.0,0.07,0.73,Xbox One
Need for Speed: Payback,2017.0,Racing,Electronic Arts,0.42,0.24,0.0,0.07,0.73,Xbox One
Dead Rising 4,2016.0,Action-Adventure,Microsoft Studios,0.41,0.25,0.0,0.06,0.73,Xbox One
LEGO Dimensions,2015.0,Action,Warner Bros. Interactive Entertainment,0.47,0.18,0.0,0.07,0.72,Xbox One
The Crew,2014.0,Racing,Ubisoft,0.32,0.34,0.0,0.06,0.71,Xbox One
Plants vs Zombies: Garden Warfare,2014.0,Shooter,Electronic Arts,0.39,0.25,0.0,0.06,0.71,Xbox One
Need for Speed Rivals,2013.0,Racing,Electronic Arts,0.45,0.19,0.0,0.07,0.7,Xbox One
Wolfenstein II: The New Colossus,2017.0,Shooter,Bethesda Softworks,0.45,0.19,0.0,0.07,0.7,Xbox One
The Evil Within,2014.0,Misc,Bethesda Softworks,0.36,0.27,0.0,0.06,0.69,Xbox One
LEGO Worlds,2017.0,Misc,Warner Bros. Interactive Entertainment,0.28,0.35,0.0,0.05,0.69,Xbox One
Borderlands: The Handsome Collection,2015.0,Shooter,2K Games,0.49,0.13,0.0,0.07,0.68,Xbox One
Evolve,2015.0,Shooter,2K Games,0.4,0.2,0.0,0.06,0.67,Xbox One
WWE 2K18,2017.0,Sports,2K Sports,0.35,0.25,0.0,0.06,0.66,Xbox One
Tomb Raider (2013),2014.0,Action-Adventure,Square Enix,0.38,0.22,0.0,0.06,0.66,Xbox One
The LEGO Movie Videogame,2014.0,Action-Adventure,Warner Bros. Interactive Entertainment,0.42,0.17,0.0,0.06,0.65,Xbox One
WWE 2K16,2015.0,Sports,Take-Two Interactive,0.34,0.24,0.0,0.06,0.63,Xbox One
Kinect Sports Rivals,2014.0,Sports,Microsoft Studios,0.3,0.25,0.02,0.05,0.62,Xbox One
South Park: The Fractured But Whole,2017.0,Role-Playing,Ubisoft,0.4,0.17,0.0,0.06,0.62,Xbox One
WWE 2K15,2014.0,Sports,2K Sports,0.32,0.23,0.0,0.05,0.61,Xbox One
EA Sports UFC 2,2016.0,Sports,EA Sports,0.36,0.19,0.0,0.06,0.61,Xbox One
NHL 17,2016.0,Sports,EA Sports,0.52,0.01,0.0,0.06,0.6,Xbox One
Tekken 7,2017.0,Fighting,Namco Bandai Games,0.3,0.23,0.0,0.05,0.58,Xbox One
LEGO Marvel Super Heroes 2,2017.0,Action,Warner Bros. Interactive Entertainment,0.32,0.2,0.0,0.05,0.57,Xbox One
WWE 2K17,2016.0,Sports,2K Games,0.26,0.26,0.0,0.05,0.57,Xbox One
Disney Infinity 2.0: Marvel Super Heroes,2014.0,Action-Adventure,Disney Interactive Studios,0.35,0.15,0.0,0.05,0.55,Xbox One
Just Dance 2015,2014.0,Music,Ubisoft,0.36,0.13,0.0,0.05,0.54,Xbox One
Dragon Ball Fighter Z,2018.0,Fighting,Namco Bandai Games,0.38,0.09,0.0,0.05,0.52,Xbox One
Alien: Isolation,2014.0,Adventure,Sega,0.23,0.25,0.0,0.04,0.52,Xbox One
Halo Wars 2,2017.0,Strategy,Microsoft Studios,0.31,0.15,0.0,0.05,0.51,Xbox One
NHL 16,2015.0,Sports,EA Sports,0.41,0.05,0.0,0.05,0.51,Xbox One
Lego Star Wars: The Force Awakens,2016.0,Action-Adventure,Warner Bros. Interactive Entertainment,0.24,0.22,0.0,0.04,0.5,Xbox One
Mad Max (2013),2015.0,Action,Warner Bros. Interactive Entertainment,0.29,0.16,0.0,0.05,0.5,Xbox One
LEGO Marvel's Avengers,2016.0,Action,Warner Bros. Interactive Entertainment,0.26,0.18,0.0,0.04,0.48,Xbox One
Zoo Tycoon (2013),2013.0,Simulation,Microsoft Studios,0.25,0.18,0.0,0.04,0.48,Xbox One
Steep,2016.0,Sports,Ubisoft,0.24,0.2,0.0,0.04,0.48,Xbox One
Thief 4,2014.0,Action,Square Enix,0.26,0.17,0.0,0.04,0.48,Xbox One
Just Dance 2014,2013.0,Music,Ubisoft,0.31,0.12,0.0,0.04,0.48,Xbox One
EA Sports UFC,2014.0,Fighting,Electronic Arts,0.3,0.13,0.0,0.04,0.48,Xbox One
BioShock The Collection,2016.0,Shooter,2K Games,0.35,0.08,0.0,0.05,0.48,Xbox One
Dragon Ball: Xenoverse 2,2016.0,Action,Namco Bandai Games,0.33,0.09,0.0,0.05,0.47,Xbox One
ARK: Survival Evolved,2017.0,Action-Adventure,Studio Wildcard,0.3,0.12,0.0,0.04,0.46,Xbox One
Disney Infinity 3.0,2015.0,Action,Disney Interactive Studios,0.3,0.12,0.0,0.04,0.46,Xbox One
Prey (2017),2017.0,Shooter,Bethesda Softworks,0.21,0.2,0.0,0.04,0.45,Xbox One
Skylanders: Trap Team,2014.0,Platform,Activision,0.34,0.07,0.0,0.04,0.45,Xbox One
Lego Batman 3: Beyond Gotham,2014.0,Action,Warner Bros. Interactive Entertainment,0.24,0.17,0.0,0.04,0.44,Xbox One
EA Sports UFC 3,2018.0,Sports,EA Sports,0.3,0.1,0.0,0.04,0.44,Xbox One
Rocksmith 2014,2014.0,Music,Ubisoft,0.31,0.08,0.0,0.04,0.43,Xbox One
Sniper Elite 3,2014.0,Shooter,505 Games,0.27,0.12,0.0,0.04,0.43,Xbox One
Hello Neighbor,2017.0,Action,Gearbox Software,0.27,0.11,0.0,0.04,0.42,Xbox One
NHL 15,2014.0,Sports,EA Sports,0.32,0.06,0.0,0.04,0.42,Xbox One
Project CARS,2015.0,Racing,Bandai Namco Games,0.21,0.16,0.0,0.04,0.41,Xbox One
Destiny: The Collection,2016.0,Shooter,Activision,0.25,0.12,0.0,0.04,0.41,Xbox One
Skylanders: SuperChargers,2015.0,Action-Adventure,Activision,0.31,0.05,0.0,0.04,0.4,Xbox One
Deus Ex: Mankind Divided,2016.0,Role-Playing,Square Enix,0.25,0.11,0.0,0.04,0.39,Xbox One
NHL 18,2017.0,Sports,EA Sports,0.32,0.03,0.0,0.04,0.39,Xbox One
The Evil Within II,2017.0,Action,Bethesda Softworks,0.25,0.1,0.0,0.04,0.39,Xbox One
Rayman Legends,2014.0,Platform,Ubisoft,0.13,0.22,0.0,0.03,0.38,Xbox One
Just Dance 2016,2015.0,Music,Ubisoft,0.3,0.04,0.0,0.04,0.38,Xbox One
Skylanders SWAP Force,2013.0,Misc,Activision,0.25,0.07,0.0,0.03,0.35,Xbox One
Naruto Shippuden: Ultimate Ninja Storm 4,2016.0,Fighting,Namco Bandai Games,0.25,0.07,0.0,0.03,0.35,Xbox One
Dragon Ball: XenoVerse,2015.0,Fighting,Namco Bandai Games,0.21,0.11,0.0,0.03,0.35,Xbox One
Marvel vs. Capcom: Infinite,2017.0,Fighting,Capcom,0.26,0.05,0.0,0.03,0.34,Xbox One
Just Dance 2017,2016.0,Music,Ubisoft,0.25,0.05,0.0,0.03,0.34,Xbox One
The Lego Ninjago Movie Videogame,2017.0,Action,Warner Bros. Interactive Entertainment,0.21,0.09,0.0,0.03,0.33,Xbox One
The Crew 2,2018.0,Racing,Ubisoft,0.2,0.1,0.0,0.03,0.33,Xbox One
Farming Simulator 17,2016.0,Simulation,Focus Home Interactive,0.19,0.11,0.0,0.03,0.33,Xbox One
METRO 2033,2014.0,Shooter,Deep Silver,0.15,0.14,0.0,0.03,0.31,Xbox One
Hitman (2016),2017.0,Action,Square Enix,0.2,0.08,0.0,0.03,0.31,Xbox One
LEGO City Undercover,2017.0,Platform,Warner Bros. Interactive Entertainment,0.15,0.12,0.0,0.03,0.3,Xbox One
Final Fantasy Type-0,2015.0,Role-Playing,Square Enix,0.2,0.07,0.0,0.03,0.3,Xbox One
Sniper Elite 4,2017.0,Shooter,Rebellion Developments,0.18,0.09,0.0,0.03,0.3,Xbox One
Sonic Forces,2017.0,Platform,Sega,0.15,0.11,0.0,0.03,0.29,Xbox One
Dark Souls II,2015.0,Role-Playing,Namco Bandai Games,0.19,0.07,0.0,0.03,0.28,Xbox One
Battleborn,2016.0,Shooter,2K Games,0.2,0.05,0.0,0.03,0.28,Xbox One
Rory McIlroy PGA Tour,2015.0,Sports,Electronic Arts,0.16,0.09,0.0,0.02,0.28,Xbox One
Assassin's Creed The Ezio Collection,2016.0,Action,Ubisoft,0.13,0.12,0.0,0.02,0.27,Xbox One
LEGO The Hobbit,2014.0,Action-Adventure,Warner Bros. Interactive Entertainment,0.13,0.13,0.0,0.02,0.27,Xbox One
Metal Gear Solid: Ground Zeroes,2014.0,Action-Adventure,Konami Digital Entertainment,0.13,0.13,0.0,0.02,0.27,Xbox One
Minecraft: Story Mode - Season Two,2017.0,Adventure,Telltale Games,0.17,0.08,0.0,0.02,0.27,Xbox One
Skylanders Imaginators,2016.0,Platform,Activision,0.19,0.05,0.0,0.03,0.27,Xbox One
Friday the 13th: The Game,2017.0,Action,Gun Media,0.21,0.03,0.0,0.03,0.27,Xbox One
ReCore,2016.0,Action-Adventure,Microsoft Studios,0.16,0.06,0.01,0.02,0.26,Xbox One
F1 2015,2015.0,Racing,Codemasters,0.09,0.15,0.0,0.02,0.25,Xbox One
L.A. Noire,2017.0,Adventure,Rockstar Games,0.14,0.09,0.0,0.02,0.25,Xbox One
Trials Fusion,2014.0,Racing,Ubisoft,0.12,0.1,0.0,0.02,0.25,Xbox One
Call of Duty: Modern Warfare Remastered,2017.0,Shooter,Activision,0.16,0.06,0.0,0.02,0.24,Xbox One
Zumba Fitness: World Party,2013.0,Misc,Majesco Entertainment,0.17,0.05,0.0,0.02,0.24,Xbox One
Saints Row IV,2015.0,Action,Deep Silver,0.13,0.09,0.0,0.02,0.24,Xbox One
Farming Simulator 2015,2015.0,Simulation,Koch Media,0.13,0.09,0.0,0.02,0.24,Xbox One
A Way Out,2018.0,Action,Electronic Arts,0.17,0.05,0.0,0.02,0.24,Xbox One
NBA Live 14,2013.0,Sports,EA Sports,0.19,0.02,0.0,0.02,0.24,Xbox One
Payday 2,2015.0,Shooter,505 Games,0.14,0.07,0.0,0.02,0.23,Xbox One
DiRT 4,2017.0,Racing,Codemasters,0.11,0.1,0.0,0.02,0.23,Xbox One
NBA Live 15,2014.0,Sports,Electronic Arts,0.18,0.02,0.0,0.02,0.22,Xbox One
F1 2016 (Codemasters),2016.0,Racing,Codemasters,0.09,0.12,0.0,0.02,0.22,Xbox One
Deadpool,2015.0,Action,Activision,0.17,0.03,0.0,0.02,0.22,Xbox One
The Amazing Spider-Man 2 (2014),2014.0,Action-Adventure,Activision,0.12,0.08,0.0,0.02,0.22,Xbox One
Kingdom Come: Deliverance,2018.0,Role-Playing,Deep Silver,0.14,0.06,0.0,0.02,0.22,Xbox One
Lords of the Fallen,2014.0,Role-Playing,Square Enix,0.1,0.1,0.0,0.02,0.22,Xbox One
Super Lucky's Tale,2017.0,Platform,Microsoft Studios,0.13,0.07,0.0,0.02,0.22,Xbox One
DiRT Rally,2016.0,Racing,Codemasters,0.12,0.08,0.0,0.02,0.21,Xbox One
Just Dance 2018,2017.0,Music,Ubisoft,0.15,0.04,0.0,0.02,0.21,Xbox One
Homefront: The Revolution,2016.0,Shooter,Deep Silver,0.1,0.09,0.0,0.02,0.21,Xbox One
State of Decay,2015.0,Action-Adventure,Microsoft Studios,0.14,0.05,0.0,0.02,0.21,Xbox One
NBA Live 18,2017.0,Sports,EA Sports,0.18,0.0,0.0,0.02,0.21,Xbox One
theHunter: Call of the Wild,2017.0,Shooter,Astragon,0.18,0.0,0.0,0.02,0.21,Xbox One
Sleeping Dogs,2014.0,Action-Adventure,Square Enix,0.1,0.09,0.0,0.02,0.2,Xbox One
Project CARS 2,2017.0,Racing,Namco Bandai Games,0.01,0.18,0.0,0.01,0.2,Xbox One
Batman: Return to Arkham,2016.0,Action,Warner Bros. Interactive Entertainment,0.12,0.06,0.0,0.02,0.2,Xbox One
Dishonored,2015.0,Action,Bethesda Softworks,0.13,0.05,0.0,0.02,0.19,Xbox One
One Piece: Burning Blood,2016.0,Fighting,Namco Bandai Games,0.11,0.07,0.0,0.02,0.19,Xbox One
Fantasia: Music Evolved,2014.0,Music,Disney Interactive Studios,0.14,0.03,0.0,0.02,0.19,Xbox One
Mirror's Edge 2,2016.0,Platform,Electronic Arts,0.11,0.06,0.0,0.02,0.19,Xbox One
Dance Central: Spotlight,2016.0,Music,Xbox One,0.15,0.03,0.0,0.0,0.19,Xbox One
Naruto to Boruto: Shinobi Striker,2018.0,Action,Bandai Namco Games,0.17,0.0,0.0,0.02,0.19,Xbox One
XCOM 2,2016.0,Strategy,2K Games,0.15,0.02,0.0,0.02,0.19,Xbox One
F1 2017,2017.0,Racing,Koch Media,0.04,0.13,0.0,0.01,0.19,Xbox One
Shape Up,2014.0,Sports,Ubisoft,0.08,0.09,0.0,0.01,0.18,Xbox One
Cities: Skylines,2017.0,Simulation,Deep Silver,0.13,0.03,0.0,0.02,0.18,Xbox One
Sniper: Ghost Warrior 3,2017.0,Shooter,City Interactive,0.11,0.05,0.0,0.02,0.18,Xbox One
Project Spark (Working Title),2014.0,Misc,Microsoft Studios,0.11,0.05,0.0,0.02,0.17,Xbox One
Rush: A Disney Pixar Adventure,2017.0,Adventure,Microsoft Studios,0.15,0.0,0.0,0.02,0.17,Xbox One
Fighter Within,2013.0,Fighting,Ubisoft,0.08,0.07,0.0,0.01,0.17,Xbox One
Murdered: Soul Suspect,2014.0,Action-Adventure,Square Enix,0.08,0.07,0.0,0.01,0.17,Xbox One
Pac-Man Championship Edition 2 + Arcade Game Series,2016.0,Action,Namco Bandai Games,0.15,0.0,0.0,0.02,0.16,Xbox One
Angry Birds: Star Wars,2013.0,Puzzle,Activision,0.11,0.04,0.0,0.02,0.16,Xbox One
Little Nightmares,2017.0,Platform,Namco Bandai Games,0.12,0.03,0.0,0.02,0.16,Xbox One
The Walking Dead: Season One,2014.0,Adventure,Telltale Games,0.08,0.06,0.0,0.01,0.16,Xbox One
Wolfenstein: The Old Blood,2015.0,Shooter,Bethesda Softworks,0.07,0.07,0.0,0.01,0.15,Xbox One
Pro Evolution Soccer 2015,2014.0,Sports,Konami Digital Entertainment,0.04,0.1,0.0,0.01,0.15,Xbox One
Transformer: Rise of the Dark Spark,2014.0,Shooter,Activision,0.1,0.03,0.0,0.01,0.15,Xbox One
The Escapists 2,2017.0,Action,Sold Out,0.05,0.08,0.0,0.01,0.15,Xbox One
Transformers: Devastation,2015.0,Action,Activision,0.1,0.04,0.0,0.01,0.15,Xbox One
Spintires: MudRunner,2017.0,Simulation,Focus Home Interactive,0.11,0.02,0.0,0.01,0.15,Xbox One
DmC: Devil May Cry,2015.0,Action,Capcom,0.09,0.04,0.0,0.01,0.15,Xbox One
Attack on Titan (KOEI),2016.0,Action,Tecmo Koei,0.06,0.07,0.0,0.01,0.15,Xbox One
Tony Hawk's Pro Skater 5,2015.0,Sports,Activision,0.11,0.02,0.0,0.01,0.14,Xbox One
Naruto Shippuden: Ultimate Ninja Storm Legacy,2017.0,Fighting,Namco Bandai Games,0.11,0.02,0.0,0.01,0.14,Xbox One
The Walking Dead: Season Two,2014.0,Misc,Telltale Games,0.08,0.05,0.0,0.01,0.14,Xbox One
Resident Evil: Revelations 2,2015.0,Action,Capcom,0.1,0.02,0.0,0.01,0.14,Xbox One
Dishonored: Death of the Outsider,2017.0,Action,Bethesda Softworks,0.07,0.06,0.0,0.01,0.14,Xbox One
Ultimate Marvel vs. Capcom 3,2017.0,Fighting,Capcom,0.12,0.0,0.0,0.01,0.14,Xbox One
The Elder Scrolls Online: Morrowind,2017.0,MMO,Bethesda Softworks,0.09,0.03,0.0,0.01,0.14,Xbox One
Hasbro Family Fun Pack,2015.0,Misc,Ubisoft,0.1,0.02,0.0,0.01,0.13,Xbox One
Rocksmith 2014 Edition Remastered,2016.0,Music,Ubisoft,0.12,0.0,0.0,0.01,0.13,Xbox One
Song of the Deep,2016.0,Action,Insomniac Games,0.12,0.0,0.0,0.01,0.13,Xbox One
NBA Live 16,2015.0,Sports,EA Sports,0.11,0.01,0.0,0.01,0.13,Xbox One
Outlast Trinity,2017.0,Action,Warner Bros. Interactive Entertainment,0.1,0.02,0.0,0.01,0.13,Xbox One
Sonic Mania,2017.0,Platform,Sega,0.09,0.03,0.0,0.01,0.13,Xbox One
Dead by Daylight,2017.0,Action,505 Games,0.08,0.03,0.0,0.01,0.12,Xbox One
Darksiders III,2018.0,Action,THQ Nordic,0.11,0.0,0.0,0.01,0.12,Xbox One
Vampyr,2018.0,Role-Playing,Focus Home Interactive,0.07,0.04,0.0,0.01,0.12,Xbox One
The Walking Dead - The Telltale Series: A New Frontier,2017.0,Adventure,Warner Bros. Interactive Entertainment,0.1,0.01,0.0,0.01,0.12,Xbox One
NASCAR Heat 2,2017.0,Racing,505 Games,0.11,0.0,0.0,0.01,0.12,Xbox One
Life is Strange,2016.0,Adventure,Square Enix,0.08,0.03,0.0,0.01,0.12,Xbox One
Wolfenstein The Two Pack,2017.0,Shooter,Bethesda Softworks,0.11,0.0,0.0,0.01,0.12,Xbox One
The Surge,2017.0,Action,Koch Media,0.07,0.04,0.0,0.01,0.12,Xbox One
Naruto Shippuden Ultimate Ninja Storm 4: Road to Boruto,2017.0,Fighting,Namco Bandai Games,0.11,0.0,0.0,0.01,0.12,Xbox One
Pro Evolution Soccer 2016,2015.0,Sports,Konami Digital Entertainment,0.05,0.06,0.0,0.01,0.12,Xbox One
Pro Evolution Soccer 2018,2017.0,Sports,Konami Digital Entertainment,0.06,0.05,0.0,0.01,0.12,Xbox One
7 Days to Die,2016.0,Action,Telltale Games,0.09,0.02,0.0,0.01,0.12,Xbox One
Zombie Army Trilogy,2015.0,Shooter,Rebellion Developments,0.05,0.05,0.0,0.01,0.12,Xbox One
Prototype: Biohazard Bundle,2016.0,Action,Activision,0.1,0.0,0.0,0.01,0.11,Xbox One
Ride,2015.0,Racing,Milestone S.r.l.,0.05,0.05,0.0,0.01,0.11,Xbox One
Agents of Mayhem,2017.0,Action,Deep Silver,0.07,0.03,0.0,0.01,0.11,Xbox One
Metal Gear Solid V: The Definitive Experience,2016.0,Action,Konami Digital Entertainment,0.1,0.0,0.0,0.01,0.11,Xbox One
Killer Instinct (2013),2014.0,Fighting,Microsoft Studios,0.07,0.03,0.0,0.01,0.11,Xbox One
MXGP 2,2016.0,Racing,Milestone S.r.l.,0.07,0.02,0.0,0.01,0.1,Xbox One
NASCAR Heat Evolution,2016.0,Racing,Dusenberry Martin Racing,0.09,0.0,0.0,0.01,0.1,Xbox One
TrackMania Turbo,2016.0,Racing,Ubisoft,0.05,0.04,0.0,0.01,0.1,Xbox One
Divinity: Original Sin,2015.0,Role-Playing,Focus Home Interactive,0.06,0.03,0.0,0.01,0.1,Xbox One
Dead or Alive 5,2015.0,Fighting,Tecmo Koei,0.05,0.03,0.01,0.01,0.1,Xbox One
Pro Evolution Soccer 2017,2016.0,Sports,Konami Digital Entertainment,0.05,0.03,0.0,0.01,0.1,Xbox One
Resident Evil Zero,2016.0,Action-Adventure,Capcom,0.07,0.02,0.0,0.01,0.1,Xbox One
Sword Art Online: Fatal Bullet,2018.0,Role-Playing,Namco Bandai Games,0.09,0.0,0.0,0.01,0.1,Xbox One
Yooka-Laylee,2017.0,Platform,Sold Out,0.05,0.04,0.0,0.01,0.1,Xbox One
Real Farm,2017.0,Simulation,Soedesco,0.08,0.0,0.0,0.01,0.1,Xbox One
We Happy Few,2018.0,Action-Adventure,Gearbox Software,0.07,0.01,0.0,0.01,0.09,Xbox One
Duke Nukem 3D: 20th Anniversary World Tour,2016.0,Shooter,Gearbox Software,0.08,0.0,0.0,0.01,0.09,Xbox One
The Wolf Among Us,2014.0,Adventure,Telltale Games,0.06,0.02,0.0,0.01,0.09,Xbox One
Attack on Titan 2,2018.0,Action,Koei Tecmo,0.08,0.0,0.0,0.01,0.09,Xbox One
Rugby 15,2015.0,Sports,Bigben Interactive,0.03,0.05,0.0,0.01,0.09,Xbox One
MXGP 3: The Official Motocross Videogame,2017.0,Racing,Milestone,0.06,0.02,0.0,0.01,0.09,Xbox One
Bladestorm: Nightmare,2015.0,Action,Tecmo Koei,0.06,0.02,0.0,0.01,0.08,Xbox One
